hector_label	author_class	n_hector_cells	basis
pancreatic ductal cell	Epithelial	73	is-a Epithelial
pancreatic endocrine cell	Epithelial	3	is-a Epithelial
pancreatic stellate cell	Fibroblast	22	is-a Fibroblast
paneth cell	Epithelial	1	is-a Epithelial
parietal cell	Epithelial	1	is-a Epithelial
parietal epithelial cell	Epithelial	6	is-a Epithelial
peg cell	Epithelial	600	is-a Epithelial
peptic cell	Epithelial	3	is-a Epithelial
peptide hormone secreting cell	Others	2	outside every group
pericyte	Other stromal	572	is-a Other stromal
perineurial cell	Others	1	outside every group
perivascular cell	Other stromal	25	identity
perivascular macrophage	Macrophage	2	CL files it under both `macrophage` and `perivascular cell`. It is an immune cell that lives in the perivascular niche, not a mural cell — the kidney table settled the same shape by sending interstitial macrophages to Macrophage rather than to the stromal class  [confirms ontology: proposal was Macrophage]
pigmented ciliary epithelial cell	Epithelial	1	is-a Epithelial
pigmented epithelial cell	Epithelial	8	is-a Epithelial
placental villous trophoblast	Others	34	no trophoblast class in the authors' annotation  [confirms ontology: proposal was Others]
plasma cell	B cell	761	the authors' B03_PlasmaB-SDC1 cluster is inside their B class; CL files plasma cell on a sibling branch of `B cell`, so no is-a path exists  [OVERRIDES ontology: proposal was Others]
plasmablast	B cell	510	the proliferating precursor of the plasma cell; same compartment  [confirms ontology: proposal was B cell]
plasmacytoid dendritic cell	Dendritic cell	73	is-a Dendritic cell
plasmacytoid dendritic cell, human	Dendritic cell	10	is-a Dendritic cell
platelet	Others	5	the authors identified platelets and excluded them from the study, so no class exists for them  [confirms ontology: proposal was Others]
pluripotent stem cell	Others	7	a developmental state, not one of the authors' classes  [confirms ontology: proposal was Others]
podocyte	Epithelial	6	is-a Epithelial
polychromatophilic erythroblast	Others	2	outside every group
pre-B-II cell	B cell	4	is-a B cell
pre-conventional dendritic cell	HSC/progenitor	10	is-a HSC/progenitor
preadipocyte	Fibroblast	3	is-a Fibroblast
precursor B cell	B cell	13	is-a B cell
primitive red blood cell	Others	3	outside every group
pro-B cell	HSC/progenitor	2	is-a HSC/progenitor
pro-T cell	HSC/progenitor	1	is-a HSC/progenitor
proerythroblast	Others	2	outside every group
professional antigen presenting cell	Others	92	spans Dendritic cell, Macrophage and mature B cell  [confirms ontology: proposal was Others]
progenitor cell	Others	3	has 52 children; not interchangeable with Monocyte
promonocyte	HSC/progenitor	68	is-a HSC/progenitor
promyelocyte	HSC/progenitor	4	is-a HSC/progenitor
prostate stromal cell	Fibroblast	1	is-a `stromal cell`  [OVERRIDES ontology: proposal was Others]
protein secreting cell	Others	1	outside every group
pulmonary alveolar epithelial cell	Epithelial	476	is-a Epithelial
pulmonary alveolar type 1 cell	Epithelial	127	is-a Epithelial
pulmonary alveolar type 2 cell	Epithelial	137	is-a Epithelial
pulmonary artery endothelial cell	Endothelial	7	is-a Endothelial
pulmonary capillary endothelial cell	Endothelial	2	is-a Endothelial
pulmonary interstitial fibroblast	Fibroblast	1	is-a Fibroblast
pulmonary ionocyte	Epithelial	2	is-a Epithelial
pulmonary neuroendocrine cell	Epithelial	120	is-a Epithelial
pyramidal neuron	Others	1	outside every group
radial glial cell	Others	1	outside every group
regular atrial cardiac myocyte	Others	2	outside every group
regulatory T cell	T cell	8135	is-a T cell
renal alpha-intercalated cell	Epithelial	3	is-a Epithelial
renal beta-intercalated cell	Epithelial	4	is-a Epithelial
renal intercalated cell	Epithelial	1	is-a Epithelial
renal interstitial pericyte	Other stromal	41	is-a Other stromal
renal principal cell	Epithelial	26	is-a Epithelial
respiratory basal cell	Epithelial	43	is-a `basal cell`  [OVERRIDES ontology: proposal was Others]
respiratory tract epithelial cell	Epithelial	689	is-a Epithelial
respiratory tract goblet cell	Epithelial	4	is-a Epithelial
respiratory tract hillock cell	Epithelial	7	is-a Epithelial
respiratory tract multiciliated cell	Epithelial	49	is-a Epithelial
respiratory tract secretory epithelial cell	Epithelial	47	is-a Epithelial
respiratory tract suprabasal cell	Epithelial	13	is-a Epithelial
reticulocyte	Others	1	outside every group
retinal astrocyte	Others	2	outside every group
retinal cell	Others	1	outside every group
retinal ganglion cell	Others	1	outside every group
retinal pigment epithelial cell	Epithelial	1	is-a Epithelial
retinal progenitor cell	Others	4	a neural progenitor; no such class in the authors' annotation  [confirms ontology: proposal was Others]
salivary gland glandular cell	Epithelial	177	is-a Epithelial
sebocyte	Epithelial	20	is-a Epithelial
secondary crest myofibroblast	Fibroblast	14	is-a `myofibroblast cell`; a manual entry does not propagate down the ontology, so the child needs its own row  [OVERRIDES ontology: proposal was Others]
secondary lymphoid organ macrophage	Macrophage	14	is-a Macrophage
secretory cell	Others	3291	36 CL children spanning GABAergic neurons, astrocytes, mast cells, platelets and exocrine cells, several of them emitted in this dataset; the term says a cell secretes, not that it is epithelium  [confirms ontology: proposal was Others]
secretory epithelial cell	Epithelial	4	is-a Epithelial
sensory neuron	Others	1	outside every group
sensory neuron of dorsal root ganglion	Others	1	outside every group
serous secreting cell	Epithelial	23	a serous gland cell — glandular epithelium  [OVERRIDES ontology: proposal was Others]
serous secreting cell of bronchus submucosal gland	Epithelial	36	is-a `serous secreting cell`  [OVERRIDES ontology: proposal was Others]
skeletal muscle satellite cell	Others	4	no skeletal muscle class; the only muscle class is the mural compartment  [confirms ontology: proposal was Others]
skeletal muscle satellite stem cell	Others	1	outside every group
skin fibroblast	Fibroblast	7	is-a Fibroblast
slow muscle cell	Others	1	outside every group
small pre-B-II cell	B cell	19	is-a B cell
smooth muscle cell	Other stromal	36	the authors' Other stromal class is pericytes plus their S19/S20 smooth muscle clusters; CL files the bare term outside `perivascular cell`  [OVERRIDES ontology: proposal was Others]
smooth muscle cell of the pulmonary artery	Other stromal	101	is-a Other stromal
sncg GABAergic cortical interneuron	Others	1	outside every group
somatic stem cell	Others	2	outside every group
spermatocyte	Others	12	germline; see `germ cell`  [confirms ontology: proposal was Others]
spinous cell	Epithelial	83	is-a Epithelial
squamous endothelial cell	Endothelial	3	is-a Endothelial
squamous epithelial cell	Epithelial	13	is-a Epithelial
stem cell	Others	17	seven CL children spanning embryonic, germline and Leydig stem cells — cross-lineage  [confirms ontology: proposal was Others]
steroid hormone secreting cell	Others	77	a secretory function shared by adrenal cortex, gonadal and placental cells; names no lineage  [confirms ontology: proposal was Others]
stratified epithelial cell	Epithelial	155	is-a Epithelial
stratified squamous epithelial cell	Epithelial	3	is-a Epithelial
stromal cell	Fibroblast	2771	the only group below it is Fibroblast; pericytes are not `stromal cell` in CL, so it does not span the two stromal classes  [OVERRIDES ontology: proposal was Others]
stromal cell of ovary	Fibroblast	1491	the ovarian stromal compartment, which in these tumours is the CAF population; CL files it beside `fibroblast`, not above it — `ovarian fibroblast` is one of its 8 children  [OVERRIDES ontology: proposal was Others]
stromal cell of pancreas	Fibroblast	4	is-a `stromal cell`  [OVERRIDES ontology: proposal was Others]
stromal cell of thymus	Fibroblast	25	is-a `stromal cell`; its own children are fibroblasts  [OVERRIDES ontology: proposal was Others]
supporting cell	Others	190	16 CL children spanning Sertoli cells, pericytes, ligament cells and sensory-epithelium support cells — cross-lineage  [confirms ontology: proposal was Others]
suprabasal keratinocyte	Epithelial	1	is-a Epithelial
surfactant secreting cell	Epithelial	27	its children are club cells and alveolar type 2 cells, both epithelium  [OVERRIDES ontology: proposal was Others]
syncytiotrophoblast cell	Others	3	outside every group
theca cell	Fibroblast	136	ovarian stroma; is-a `stromal cell of ovary`  [OVERRIDES ontology: proposal was Others]
thymic fibroblast type 1	Fibroblast	3	is-a Fibroblast
thymic fibroblast type 2	Fibroblast	35	is-a Fibroblast
thymocyte	T cell	10	is-a T cell
tissue-resident macrophage	Macrophage	2	is-a Macrophage
tonsil germinal center B cell	B cell	5	is-a B cell
trabecular meshwork cell	Endothelial	26	is-a Endothelial
tracheal goblet cell	Epithelial	23	is-a Epithelial
tracheobronchial goblet cell	Epithelial	2	is-a Epithelial
tracheobronchial serous cell	Epithelial	9	is-a `serous secreting cell`  [OVERRIDES ontology: proposal was Others]
tracheobronchial smooth muscle cell	Other stromal	5	is-a `smooth muscle cell`  [OVERRIDES ontology: proposal was Others]
transit amplifying cell	Epithelial	46	the dividing compartment of an epithelium; CL files it directly under `eukaryotic cell` with no epithelial parent  [OVERRIDES ontology: proposal was Others]
transit amplifying cell of colon	Epithelial	1	is-a Epithelial
transit amplifying cell of gut	Epithelial	10	is-a Epithelial
transit amplifying cell of small intestine	Epithelial	2	is-a Epithelial
transitional stage B cell	B cell	17	is-a B cell
type EC enteroendocrine cell	Epithelial	39	is-a Epithelial
type I NK T cell	T cell	1	is-a T cell
type II muscle cell	Others	1	outside every group
type L enteroendocrine cell	Epithelial	3	is-a Epithelial
unswitched memory B cell	B cell	951	is-a B cell
uterine smooth muscle cell	Other stromal	27	smooth muscle, in-tissue for this gynaecological dataset  [OVERRIDES ontology: proposal was Others]
vasa recta ascending limb cell	Endothelial	6	is-a Endothelial
vascular associated smooth muscle cell	Other stromal	997	is-a Other stromal
vascular leptomeningeal cell	Fibroblast	1	is-a Fibroblast
vascular lymphangioblast	Other stromal	1	is-a Other stromal
vein endothelial cell	Endothelial	758	is-a Endothelial
vein endothelial cell of respiratory system	Endothelial	2	is-a Endothelial
ventricular cardiac muscle cell	Others	3	outside every group
visceral muscle cell	Others	1	outside every group
